ChestType,ItemQuantity,ItemId,Weight,Value,ChestIcon,ChestName
CommonChest,2,Gold,50,50,copperchest,Common
,,Diamond,20,10,,
,,Gold,30,100,,
SliverChest,3,Gold,20,70,silverchest,Sliver
,,Diamond,20,20,,
,,Gold,40,20,,
,,OwlStaff|Common,10,1,,
,,Diamond,10,25,,
GoldChest, 7,Gold,20,600,goldchest,Gold
,,Diamond,5,2000,,
,,OwlStaff|Rare,30,1,,
,,Gold,30,900,,
,,Staff|Common,30,1,,
,,Diamond,5,50,,
,,Ticket,10,5,,
,,Gold,5,1300,,
,,TalentPoint,10,2,,
,,SpearHeaven|Rare,35,1,,
,,Gold,40,500,,
DiamondChest,8,Gold,20,600,diamondchest,Diamond
,,Diamond,5,2000,,
,,Fragment|Common,30,20,,
,,LocketHarmory|Legendary,30,1,,
,,Ring|Rare,10,25,,
,,Book|Legendary,5,1,,
,,Ticket,10,5,,
,,Gold,5,1300,,
,,TalentPoint,10,2,,
,,SwordKunasagi|Rare,35,1,,
,,Gold,40,500,,
,,TalentPoint,20,5,,
,,Diamond,2,100,,
,,Ticket,3,25,,
,,Dagger|Rare,10,1,,
