Id,EnvironmentId,BossId,WaveId,Delay,RewardId,Value,Ticket,RequireLevel,BossSpawnDelay
1,Environment_2,blueDragon,1,1,SliverChest,1,1,1,1
,,,2,1,CommonChest,1,,,
,,,3,1,,,,,
2,Environment_2,redDragon,4,1,SliverChest,1,1,2,2
,,,5,1,CommonChest,2,,,
3,Environment_2,greenDragon,6,1,SliverChest,1,1,4,3
,,,7,1,CommonChest,2,,,
4,Environment_2,redDragon,8,1,SliverChest,1,2,5,4
,,,8,1,SliverChest,1,,,
,,,6,2,,,,,
,,,4,2,,,,,
5,Environment_1,wolfBoss,11,1,GoldChest,1,2,6,5
,,,10,1,CommonChest,2,,,
,,,9,1,,,,,
6,Environment_1,skeleton_1Boss,7,1,GoldChest,1,5,7,5
,,,8,2,SliverChest,1,,,
,,,9,3,CommonChest,1,,,
,,,11,2,,,,,
7,Environment_2,blueDragonBoss,2,1,SliverChest,1,7,8,6
,,,3,2,CommonChest,1,,,
,,,7,2.5,GoldChest,1,,,
,,,9,2,DiamondChest,1,,,
,,,6,3,,,,,
,,,8,4,,,,,
8,Environment_2,redDragonBoss,6,1,SliverChest,1,7,9,7
,,,6,2,CommonChest,1,,,
,,,9,1,GoldChest,1,,,
,,,9,3,DiamondChest,1,,,
,,,11,4,,,,,
,,,10,2,,,,,
9,Environment_2,goblinBoss,7,1,SliverChest,3,8,10,7
,,,7,1,CommonChest,2,,,
,,,9,2,GoldChest,2,,,
,,,9,1,DiamondChest,1,,,
,,,11,3,,,,,
,,,10,4,,,,,
,,,8,5,,,,,
10,Environment_2,greenDragonBoss,7,1,SliverChest,3,10,12,7
,,,7,1,CommonChest,2,,,
,,,9,2,GoldChest,4,,,
,,,9,1,DiamondChest,3,,,
,,,11,3,,,,,
,,,10,4,,,,,
,,,8,5,,,,,
,,,11,5.5,,,,,
,,,9,6,,,,,
