Id,PrefabName,AttackType,Name,Attack,HP,Speed,AttackRange,Gold,Exp
goblin,Goblin,Melee,NormalGoblin,15|1.1,20|1.2,2|1.1,2,10|1.2,10|1.2
death,Death,Melee,NormalGoblin,50|1.1,70|1.2,2|1.1,2,35|1.2,35|1.2
eyes,Eyes,Melee,NormalGoblin,25|1.1,20|1.2,2|1.1,2,20|1.2,20|1.2
phantom,Phantom,Melee,NormalGoblin,10|1.1,20|1.2,2|1.1,2,25|1.2,25|1.2
skeleton_0,Skeleton_0,Melee,NormalGoblin,20|1.1,50|1.2,2|1.1,2,30|1.2,30|1.2
skeleton_1,Skeleton_1,Melee,NormalGoblin,30|1.1,40|1.2,2|1.1,2,40|1.2,40|1.2
slime_0,Slime_0,Melee,NormalGoblin,10|1.1,20|1.2,2|1.1,2,10|1.2,10|1.2
slime_1,Slime_1,Melee,NormalGoblin,10|1.1,22|1.2,2|1.1,2,15|1.2,15|1.2
slime_2,Slime_2,Melee,NormalGoblin,10|1.1,30|1.2,2|1.1,2,20|1.2,20|1.2
slime_3,Slime_3,Melee,NormalGoblin,10|1.1,35|1.2,2|1.1,2,25|1.2,25|1.2
slime_4,Slime_4,Melee,NormalGoblin,10|1.1,40|1.2,2|1.1,2,30|1.2,30|1.2
wolf,Wolf,Melee,NormalGoblin,90|1.1,100|1.2,2|1.1,2,120|1.2,120|1.2
