ElementId,Level,EvolutionId,LineIndex,ParentId,ParentPathIndex,IconImg,NormalAttackSkills,PassiveSkills,ActiveSkills
Knight,1,knight_evolve_1,1,,-1,knight hero_SkeletonData,KnightSkill_1,,
,2,knight_evolve_2,0,knight_evolve_1,0,knight hero_SkeletonData,,,
,,knight_evolve_3,2,knight_evolve_1,2,knight hero_SkeletonData,,,
Wizard,1,wizard_evolve_1,1,,-1,wizard_SkeletonData,,,
,2,wizard_evolve_2,0,wizard_evolve_1,0,wizard_SkeletonData,,,
,,wizard_evolve_3,2,wizard_evolve_1,2,wizard_SkeletonData,,,
GreenLeaf,1,green_leaf_evolve_1,1,,-1,archer_SkeletonData,,,
,2,green_leaf_evolve_2,0,green_leaf_evolve_1,0,archer_SkeletonData,,,
,,green_leaf_evolve_3,2,green_leaf_evolve_1,2,archer_SkeletonData,,,
GrayMage,1,gray_mage_evolve_1,1,,-1,gray mage_SkeletonData,,,
,2,gray_mage_evolve_2,0,gray_mage_evolve_1,0,gray mage_SkeletonData,,,
,,gray_mage_evolve_3,2,gray_mage_evolve_1,2,gray mage_SkeletonData,,,
Xel'Naga,1,xelNaga_evolve_1,1,,-1,turret_SkeletonData,,,
Judge,1,judge_evolve_1,1,,-1,judge_SkeletonData,,,
,2,judge_evolve_2,0,judge_evolve_1,0,judge_SkeletonData,,,
,,judge_evolve_3,2,judge_evolve_1,2,judge_SkeletonData,,,
Shadow,1,shadow_evolve_1,1,,-1,shadow_SkeletonData,,,
,2,shadow_evolve_2,0,shadow_evolve_1,0,shadow_SkeletonData,,,
,,shadow_evolve_3,2,shadow_evolve_1,2,shadow_SkeletonData,,,
Arise,1,arise_evolve_1,1,,-1,rise_SkeletonData,,,
,2,arise_evolve_2,0,arise_evolve_1,0,rise_SkeletonData,,,
,,arise_evolve_3,2,arise_evolve_1,2,rise_SkeletonData,,,
Hassan,1,hassan_evolve_1,1,,-1,ninja_SkeletonData,,,
,2,hassan_evolve_2,0,hassan_evolve_1,0,ninja_SkeletonData,,,
,,hassan_evolve_3,2,hassan_evolve_1,2,ninja_SkeletonData,,,
MoonShadow,1,moon_shadow_evolve_1,1,,-1,moon and night_SkeletonData,,,
,2,moon_shadow_evolve_2,0,moon_shadow_evolve_1,0,moon and night_SkeletonData,,,
,,moon_shadow_evolve_3,2,moon_shadow_evolve_1,2,moon and night_SkeletonData,,,
Storm,1,storm_evolve_1,1,,-1,storm_SkeletonData,,,
,2,storm_evolve_2,0,storm_evolve_1,0,storm_SkeletonData,,,
,,storm_evolve_3,2,storm_evolve_1,2,storm_SkeletonData,,,
Worm,1,xelNaga_evolve_1,1,,-1,worm_SkeletonData,,,
GoldenStatue,1,xelNaga_evolve_1,1,,-1,golden chalice_SkeletonData,,,
LifeTree,1,xelNaga_evolve_1,1,,-1,tree_SkeletonData,,,
