HeroId,PrefabName,Class,EvolutionId,ActiveSkill,SkeletonDataAsset,HeroType,PassiveSkill,AttackSkill
Knight,HeroKnight,Summon,KnightEvol_1,summon_skill|summon,knight hero_SkeletonData,Hero,"FightForeverPassiveSkill,GreatAdmiralPassiveSkill",none|atk
Wizard,HeroWizard,Attack,WizardEvol_1,wizard_attack_skill|summon,wizard_SkeletonData,Hero,GodApperancePassiveSkill,wizard_normal_attack|atk
GreenLeaf,GreenLeaf,Attack,WizardEvol_1,sylvan_wrath|attack2,archer_SkeletonData,Hero,"ElvenMarkPassiveSkill,HunterZonePassiveSkill",arrow_skill|attack
GrayMage,GrayMage,Attack,WizardEvol_1,god_realm|skill,gray mage_SkeletonData,Hero,"GodLightPassiveSkill,GodApperancePassiveSkill",wizard_normal_attack|atk
Xel'Naga,TowerXelNaga,Attack,XelNaga_Evol,wizard_normal_attack|idle,turret_SkeletonData,Tower,,wizard_normal_attack|atk
Judge,Judge,Buff,WizardEvol_1,justice_sanction_skill|skill,judge_SkeletonData,Hero,"ControlGravityPassiveSkill,IntimidationPassiveSkill",none|atk
Shadow,Shadow,Attack,WizardEvol_1,cursed_volley|skill,shadow_SkeletonData,Hero,"TheFearPassiveSkill,DeadlyArrowPassiveSkill",arrow_skill|attack
Hassan,Hassan,Attack,WizardEvol_1,rasen_shuriken_skill|skill,ninja_SkeletonData,Hero,"LightFootPassiveSkill,StealthPassiveSkill",shuriken_attack|atk
Arise,Arise,Summon,KnightEvol_1,skeleton_army|atk,rise_SkeletonData,Hero,"ShadowLord,DarknessArise",none|atk
MoonShadow,MoonShadow,Attack,WizardEvol_1,death_scythe|skill,moon and night_SkeletonData,Hero,"PiercingScythe,BloodScythe",wizard_normal_attack|skill
Storm,HeroStorm,Attack,WizardEvol_1,golden_thunder_skill|skill,storm_SkeletonData,Hero,"ForesightPassiveSkill,ObscurePassiveSkill",wizard_normal_attack|skill
Worm,TowerWorm,Attack,XelNaga_Evol,wizard_normal_attack|idle,worm_SkeletonData,Tower,,WormNormalAttack|atk
