HeroId,BaseAttack,BaseAttackSpeed,BaseResource,Level,Avatar,Coefficient,ResourceType
Knight,10,10,100,1,archer,1.2,Gold
,,,,2,archer,1.2,Gold
Wizard,10,10,3500,1,archer,1.2,Gold
GreenLeaf,10,10,2000,1,archer,1.2,Gold
GrayMage,10,10,1500,1,archer,1.3,Gold
Xel'Naga,10,5,5000,1,archer,1.3,Gold
Shadow,15,10,2000,1,archer,1.3,Gold
Judge,10,10,2000,1,archer,1.3,Gold
Hassan,10,10,1000,1,archer,1.3,Gold
Arise,10,10,1700,1,archer,1.3,Gold
MoonShadow,10,10,2200,1,archer,1.3,Gold
Storm,10,10,3600,1,archer,1.3,Gold
Worm,6,1,6000,1,archer,1.3,Gold
GoldenStatue,10,1,4000,1,archer,1.3,Gold
LifeTree,10,1,4000,1,archer,1.3,Gold
