Id,Type,Mana,Cooldown,Description,Icon
archer_normal_attack,Projectile,10,2,,
summon_skill,Summon,25,3,Summon 2 clone last for 8 secs,
wizard_normal_attack,Projectile,0,0,,
fire_lighting_ball,InstantHit,10,2,Summon 2 lighting ball,
lightning_rod,Projectile,0,0, Summon lighting rod,
sylvan_wrath,InstantHit,30,3,Create a sword strike in the air that slows enemies,
god_realm,InstantHit,25,3,"Call divine light from the sky, dealing direct damage to 10 random enemies",
wizard_attack_skill,InstantHit,30,3,Summon a magic fire cause 300% basic damage and cause bleed and slow effect exits 1s,
justice_sanction_skill,InstantHit,30,3,Stun all ground enemies 2 seconds,
cursed_volley,InstantHit,30,3,"Summon 3 black magic ball from the sky and shoot down on 3 random enemies, causing a fear effect. If the enemy has less than 20% health, it will cause instant death",
rasen_shuriken_skill,InstantHit,10,2,"throw a Wind Shuriken into the current enemy, dealing damage to all the enemies in range",
skeleton_army,Summon,25,3,Summons 2 skeletons that last 3 seconds to attack enemies,
shuriken_attack,Projectile,0,0,,
death_scythe,InstantHit,20,3,"Throwing the spinning scythe in front of the castle, enemies that touch it will take damage and have a bleeding effect for 3 seconds",
golden_thunder_skill,InstantHit,20,3,"Summon 2 golden lightning strikes to the ground, each golden lighting will create an area that deals AOE damage for the enemies",
phantom_attack,Projectile,0,2,,
GreatAdmiralPassiveSkill,Passive,0,0,,
FightForeverPassiveSkill,Passive,0,0,,
GodApperancePassiveSkill,Passive,0,0,,
LightFootPassiveSkill,Passive,0,0,,
DeadlyArrowPassiveSkill,Passive,0,0,,
GodLightPassiveSkill,Passive,0,0,,
TheFearPassiveSkill,Passive,0,0,,
IntimidationPassiveSkill,Passive,0,0,,
ControlGravityPassiveSkill,Passive,0,0,,
ShadowLord,Passive,0,0,,
DarknessArise,Passive,0,0,,
StealthPassiveSkill,Passive,0,0,,
PiercingScythe,Passive,0,0,,
BloodScythe,Passive,0,0,,
ObscurePassiveSkill,Passive,0,0,,
ForesightPassiveSkill,Passive,0,0,,
ElvenMarkPassiveSkill,Passive,0,0,,
HunterZonePassiveSkill,Passive,0,0,,
HealingManaPassiveSkill,Passive,0,0,,
HealingHealthPassiveSkill,Passive,0,0,,
WormNormalAttack,Projectile,0,0,"Creates a spike every 10 seconds, lasting 5 seconds, dealing AOE damage",
NagaAttack,Projectile,0,0,a machine that fires many bullets to attack enemies,
LifeTreeSkill,Projectile,0,0,Increase EXP drop from the enemies,
GoldenStatueSkill,Projectile,0,0,Increase Gold drop from the enemies,
